method,spp,T,logRMR,logM,ram,therm
DO,Isurus oxyrinchus,18,3.244079107,0.69019608,yes,endo
DO,Isurus oxyrinchus,17.8,3.186673867,0.72427587,yes,endo
DO,Isurus oxyrinchus,16.5,3.230244499,0.770852012,yes,endo
DO,Isurus oxyrinchus,19.3,3.319605679,0.851258349,yes,endo
DO,Isurus oxyrinchus,18.6,3.22344402,0.913813852,yes,endo
DO,Isurus oxyrinchus,19.2,3.24723655,0.977723605,yes,endo
DO,Katsuwonus pelamis,23.5,3.158877911,0.292699003,yes,endo
DO,Scomber japonicus,24,1.338598769,-1.01188716,yes,ecto
DO,Scomberomorus queenslandicus,29,0.099779266,-3.13430394,yes,ecto
DO,Sphyrna lewini,32,2.45331834,-0.15490196,yes,ecto
DO,Sphyrna tiburo,25,1.482569271,-0.887239773,yes,ecto
DO,Sphyrna tiburo,25,1.769147436,-0.886268334,yes,ecto
DO,Sphyrna tiburo,25,1.618364023,-0.867614556,yes,ecto
DO,Sphyrna tiburo,25,1.686852201,-0.831297498,yes,ecto
DO,Sphyrna tiburo,25,2.331818127,-0.065242039,yes,ecto
DO,Sphyrna tiburo,25,2.312951116,-0.062331886,yes,ecto
DO,Sphyrna tiburo,25,2.212102656,-0.042384908,yes,ecto
DO,Sphyrna tiburo,25,2.235764568,-0.042340237,yes,ecto
DO,Sphyrna tiburo,25,2.357575987,0.027924046,yes,ecto
DO,Sphyrna tiburo,25,2.372770577,0.027957765,yes,ecto
DO,Sphyrna tiburo,25,2.335771923,0.030265393,yes,ecto
DO,Sphyrna tiburo,25,2.522779697,0.033120287,yes,ecto
DO,Sphyrna tiburo,25,2.535796079,0.033162014,yes,ecto
DO,Sphyrna tiburo,25,2.40164304,0.035147455,yes,ecto
DO,Sphyrna tiburo,25,2.510719403,0.035442226,yes,ecto
DO,Sphyrna tiburo,25,2.33571457,0.066786592,yes,ecto
DO,Sphyrna tiburo,25,2.361367298,0.066836788,yes,ecto
DO,Sphyrna tiburo,25,2.37827899,0.066871489,yes,ecto
DO,Sphyrna tiburo,25,2.553352779,0.069503966,yes,ecto
DO,Sphyrna tiburo,25,2.526686497,0.071593952,yes,ecto
DO,Sphyrna tiburo,25,2.415328823,0.084116111,yes,ecto
DO,Sphyrna tiburo,25,2.370814105,0.086122292,yes,ecto
DO,Sphyrna tiburo,25,2.385560179,0.086151854,yes,ecto
DO,Sphyrna tiburo,25,2.401572191,0.086185045,yes,ecto
DO,Sphyrna tiburo,25,2.54460108,0.110946897,yes,ecto
DO,Sphyrna tiburo,25,2.555763484,0.112951193,yes,ecto
DO,Sphyrna tiburo,25,2.491125331,0.15407716,yes,ecto
DO,Sphyrna tiburo,25,2.753858752,0.16547213,yes,ecto
DO,Sphyrna tiburo,25,2.742851867,0.16890398,yes,ecto
DO,Sphyrna tiburo,25,2.76078432,0.170700952,yes,ecto
DO,Sphyrna tiburo,25,2.658766165,0.198713349,yes,ecto
DO,Sphyrna tiburo,25,2.673955248,0.198758914,yes,ecto
DO,Sphyrna tiburo,25,2.656547163,0.406574003,yes,ecto
DO,Sphyrna tiburo,25,2.736983081,0.406734633,yes,ecto
DO,Sphyrna tiburo,25,2.748920746,0.406761138,yes,ecto
DO,Sphyrna tiburo,25,2.709503128,0.40767617,yes,ecto
DO,Sphyrna tiburo,25,2.529978946,0.441937786,yes,ecto
DO,Sphyrna tiburo,25,2.896266445,0.63580151,yes,ecto
DO,Sphyrna tiburo,25,2.862501327,0.667618952,yes,ecto
DO,Thunnus alalunga,17,3.502719673,1.003288159,yes,endo
DO,Thunnus albacares,25,3.027358346,0.041392685,yes,endo
DO,Thunnus albacares,25,3.184847927,0.336459734,yes,endo
