spp;original name;sp_all;notes
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo32;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo33;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo34;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo35;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo36;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo37;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo38;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo39;
Stegostoma_fasciatum;Stegostoma tigrinum;Stegostoma_fasciatum;
Stegostoma_fasciatum;Stegostoma tigrinum;Stegostoma_fasciatum2;
Stegostoma_fasciatum;Stegostoma tigrinum;Stegostoma_fasciatum3;
Stegostoma_fasciatum;Stegostoma tigrinum;Stegostoma_fasciatum4;
Stegostoma_fasciatum;Stegostoma tigrinum;Stegostoma_fasciatum5;
Stegostoma_fasciatum;Stegostoma tigrinum;Stegostoma_fasciatum6;
Stegostoma_fasciatum;Stegostoma tigrinum;Stegostoma_fasciatum7;
Stenobrachius_leucopsarus;Stenobrachius leucopsarus;Stenobrachius leucopsarus;
Stephanolepis_hispidus;Monacanthidae;Monacanthidae;
Stephanolepis_hispidus;Monacanthidae;Monacanthidae2;
Stomias_affinis;Stomias danae;Stomias danae;
Stomias_atriventer;Stomias atriventer;Stomias atriventer;
Tarletonbeania_crenularis;Tarletonbeania crenularis;Tarletonbeania crenularis;
Terapon_jarbua;Terapon sp.;Terapon sp.;
Thunnus_alalunga;Thunnus alalunga;Thunnus alalunga;
Thunnus_albacares;Thunnus albacares;Thunnus albacares;
Thunnus_albacares;Thunnus albacares;Thunnus albacares2;
Thunnus_albacares;Thunnus albacares;Thunnus albacares3;
Thunnus_orientalis;Thunnus orientalis;Thunnus orientalis;
Thunnus_thynnus;Thunnus thynnus;Thunnus thynnus;
Triaenodon_obesus;Triaenodon obesus;Triaenodon_obesus;
Triaenodon_obesus;Triaenodon obesus;Triaenodon_obesus2;
Triaenodon_obesus;Triaenodon obesus;Triaenodon_obesus3;
Triaenodon_obesus;Triaenodon obesus;Triaenodon_obesus4;
Triphoturus_mexicanus;Triphoturus mexicanus;Triphoturus mexicanus;
Upeneus_tragula;Upeneus tragula;Upeneus tragula;
Xiphias_gladius;Xiphias gladius;Xiphias gladius;
